DATE,MSCI,LOW_VOL,MOM,VIX,CS,GDP,IR,CPI,Liquidity,PUT/CALL,Crude Oil
2020-11-01,6906.782857142856,3833.092857142857,3025.4171428571426,36.82,260.85285428571433,2.6422164351932094,0.8262572887142857,1.3172457142857144,0.06571428571428571,0.65,37.00857142857143
2020-11-08,7209.111428571428,3957.4071428571433,3179.69,29.201428571428576,258.6485714285714,2.6422164351932094,0.8176998407142857,1.18206,0.048571428571428585,0.4557142857142858,37.69
2020-11-15,7487.7242857142855,4065.191428571429,3178.6785714285716,24.092857142857138,246.02427857142857,2.6422164351932094,0.9183955960000001,1.18206,-0.06857142857142857,0.48142857142857143,40.65857142857143
2020-11-22,7572.805714285712,4067.307142857143,3194.2228571428573,23.315714285714282,242.0342814285714,2.6422164351932094,0.8479251432857142,1.18206,-0.07857142857142858,0.4285714285714285,41.82571428571429
2020-11-29,7697.040000000001,4065.058571428572,3233.091428571429,21.33142857142857,233.13571857142855,2.6422164351932094,0.8583792022857144,1.18206,-0.06428571428571428,0.40428571428571436,45.14
2020-12-06,7796.5085714285715,4074.4428571428575,3282.9600000000005,20.88,223.1685857142857,2.6422164351932094,0.9292640261428573,1.17453,-0.03857142857142857,0.3885714285714287,45.65571428571428
2020-12-13,7820.585714285714,4080.9828571428575,3292.0028571428566,22.385714285714283,224.51715714285714,2.6422164351932094,0.9103419865714286,1.17453,-0.005714285714285714,0.43857142857142856,46.19571428571429
2020-12-20,7903.791428571428,4112.9914285714285,3369.9771428571426,22.39285714285714,223.6557242857143,2.6422164351932094,0.9270067727142859,1.17453,0.0028571428571428567,0.43142857142857144,48.298571428571435
2020-12-27,7898.4457142857145,4083.4928571428572,3391.9271428571433,22.688571428571432,226.2657128571429,2.6422164351932094,0.9266013674285715,1.17453,0.008571428571428572,0.48714285714285716,47.971428571428575
2021-01-03,7997.352857142857,4129.687142857144,3410.5071428571428,22.650000000000002,222.4943,-0.5430748672367615,0.9193230964285712,1.2816614285714285,0.032857142857142856,0.5142857142857143,48.300000000000004
2021-01-10,8102.66857142857,4153.237142857143,3475.5085714285715,23.490000000000002,217.9585571428572,-2.9320433440592404,1.0469929147142858,1.36201,-0.12428571428571429,0.43,50.81857142857143
2021-01-17,8120.354285714285,4139.672857142857,3476.7285714285717,23.69857142857143,217.65000142857144,-2.9320433440592404,1.1054196358571429,1.36201,-0.1385714285714286,0.4,52.71714285714286
2021-01-24,8186.374285714286,4151.231428571429,3549.945714285714,22.315714285714282,214.25714571428574,-2.9320433440592404,1.087805782,1.36201,-0.14142857142857143,0.40285714285714286,52.645714285714284
2021-01-31,8042.964285714287,4109.650000000001,3495.5699999999997,30.414285714285715,218.28286000000003,-2.9320433440592404,1.045945122,1.3674042857142858,-0.1542857142857143,0.4742857142857143,52.452857142857134
2021-02-07,8190.842857142857,4115.854285714286,3592.2000000000003,23.298571428571428,217.52998857142853,-2.9320433440592404,1.1346584217142857,1.39977,-0.1814285714285714,0.41714285714285715,55.82571428571429
2021-02-14,8368.592857142858,4159.219999999999,3678.8828571428567,20.859999999999996,216.37427571428574,-2.9320433440592404,1.1767856545714288,1.39977,-0.19857142857142857,0.40714285714285714,58.80857142857144
2021-02-21,8387.091428571428,4120.030000000001,3666.2957142857135,21.652857142857147,210.89857000000003,-2.9320433440592404,1.2996072324285712,1.39977,-0.21857142857142858,0.4371428571428572,59.84285714285715
2021-02-28,8229.91285714286,4041.0728571428563,3466.1871428571426,25.805714285714284,219.55857857142854,-2.9320433440592404,1.402449055857143,1.4392614285714285,-0.17285714285714285,0.5114285714285713,62.058571428571426
2021-03-07,8176.348571428572,4015.318571428572,3355.73,25.238571428571426,210.8999971428571,-2.9320433440592404,1.5073629957142856,1.6762099999999998,-0.16285714285714287,0.52,63.3957142857143
2021-03-14,8308.367142857143,4094.2328571428575,3358.995714285714,22.291428571428572,213.31572,-2.9320433440592404,1.5779785302857143,1.6762099999999998,-0.1657142857142857,0.43714285714285717,65.19285714285715
2021-03-21,8385.614285714286,4151.63,3403.6699999999996,20.497142857142855,216.24570857142857,-2.9320433440592404,1.6767748834285712,1.6762099999999998,-0.1757142857142857,0.4642857142857143,62.721428571428575
2021-03-28,8354.182857142858,4181.254285714286,3380.1342857142854,19.538571428571426,210.42714142857147,-2.9320433440592404,1.6549654345714284,1.6762099999999998,-0.12714285714285714,0.5314285714285715,60.28000000000001
2021-04-04,8449.952857142858,4213.125714285715,3445.048571428572,18.43857142857143,205.2828557142857,-2.9320433440592404,1.712309701142857,2.350181428571428,-0.13714285714285715,0.4414285714285714,61.00999999999999
2021-04-11,8650.50857142857,4261.755714285714,3586.5071428571428,17.172857142857143,197.50285142857143,-2.9320433440592404,1.6606867822857143,2.6197699999999995,-0.17142857142857143,0.4628571428571429,59.33
2021-04-18,8773.995714285715,4309.372857142857,3679.1057142857144,16.552857142857142,196.76856999999998,-2.9320433440592404,1.6040004831428567,2.6197699999999995,-0.15285714285714286,0.45,62.26857142857143
2021-04-25,8783.215714285714,4349.707142857143,3668.602857142858,17.73857142857143,200.8185585714286,-2.9320433440592404,1.5614828894285713,2.6197699999999995,-0.15571428571428572,0.5042857142857142,62.145714285714284
2021-05-02,8821.711428571429,4321.128571428571,3684.3300000000004,17.98857142857143,198.20427571428567,-2.9320433440592404,1.6156617745714286,3.2797357142857146,-0.16285714285714287,0.5142857142857142,63.4942857142857
2021-05-09,8848.921428571428,4364.48857142857,3604.4157142857143,17.914285714285715,198.60713428571427,-2.9320433440592404,1.5795376812857143,4.15969,-0.18285714285714283,0.5185714285714286,65.03142857142856
